Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,44,100573,24653458925874,"GetPlusInfoJob : Run(Start)
"
PROCESS_OUTPUT,STREAM_STDIO,44,100412,24653460669732,"[ProfileCacheManager] JobUpdate.Finish(0x10000000)
"
PROCESS_OUTPUT,STREAM_STDIO,44,100573,24653464118767,"GetPlusInfoJob : Run(End)
"
PROCESS_OUTPUT,STREAM_STDIO,44,100412,24653484542720,"GetPlusInfoJob : Finish / Cancelled False / Result True
"
PROCESS_OUTPUT,STREAM_STDIO,44,100412,24653484638341,"[UpdateUserInfoforPlus] upd_userId : 268435456 / type : None
"
PROCESS_OUTPUT,STREAM_STDIO,48,100854,24653498418313,"[VCS]checkApplicationStatus() [LNC->VCS] App was Killed. appId = 0x6000200a.
"
PROCESS_OUTPUT,STREAM_STDIO,48,100854,24653499192362,"[VCS]checkApplicationStatus() [LNC->VCS] App was Killed. appId = 0x6000210b.
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551628792,"========= Mapping File configuration =========
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551667805,"fd:0x00000038
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551691759,"line:40
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551716415,"version:1
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551741441,"app0:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551765024,"savedataRoot:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551788810,"addcontRoot:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551812318,"otherApps:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551835475,"otherAppsPatches:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551859194,"otherAppsSavedata:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551882413,"otherAppsContents:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551921777,"overlay1type:3
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551948541,"overlay1order:0
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653551979125,"overlay1src:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552002355,"overlay1dst:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552025319,"overlay2type:3
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552049400,"overlay2order:0
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552094782,"overlay2src:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552129592,"overlay2dst:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552205029,"overlay3type:3
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552247086,"overlay3order:0
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552277184,"overlay3src:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552439823,"overlay3dst:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552470118,"overlay4type:3
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552493970,"overlay4order:0
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552524706,"overlay4src:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552549476,"overlay4dst:""""
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552572823,"overlay5type:3
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552595782,"overlay5order:0
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,24653552669491,"overlay5src:""""
"
